rid,disease_cui,symptom_cui
1205,C0027339,C0038605
1484,C0027339,C0263540
923,C0027404,C0917799
617,C0027436,C0030193
36,C0027438,C0030214
2093,C0027765,C0701795
2094,C0028432,C1260880
1206,C0028709,C0159043
37,C0028738,C1321325
340,C0028738,C0521766
924,C0028738,C0344242
925,C0028738,C0521765
926,C0028738,C0344240
1207,C0028738,C0339667
1208,C0028738,C0521763
1209,C0028738,C0521764
1485,C0028738,C0585566
2095,C0028738,C0344244
1210,C0028850,C0271397
2096,C0028850,C0029089
38,C0028992,C1301340
1486,C0029411,C0149651
39,C0029498,C0030218
341,C0029498,C0236065
927,C0029498,C1290771
1211,C0029498,C0399459
1212,C0029498,C0426487
1213,C0029498,C0451633
1214,C0029498,C0578051
1487,C0029498,C0221776
1488,C0029498,C0472514
1489,C0029498,C0578082
2097,C0029498,C0577565
2098,C0029498,C1579838
1785,C0029546,C0019214
40,C0029581,C0264272
41,C0029581,C0578046
342,C0029581,C0264274
928,C0029581,C0027424
929,C0029581,C0578047
1215,C0029581,C1260880
1490,C0029581,C0152029
1786,C0029581,C0032781
2099,C0029581,C0451632
618,C0029594,C0020639
42,C0029620,C0521766
43,C0029620,C1321324
343,C0029620,C0344239
344,C0029620,C0521763
345,C0029620,C0521764
930,C0029620,C0344246
931,C0029620,C0349683
932,C0029620,C0521762
933,C0029620,C0521765
934,C0029620,C1321325
1491,C0029620,C0339667
1787,C0029620,C0349681
2100,C0029620,C0349684
44,C0029741,C0026825
45,C0029741,C0259813
619,C0029741,C3266172
346,C0029770,C0241457
347,C0029770,C0241462
1492,C0029771,C0278021
1788,C0029771,C0522071
46,C0029776,C0426390
620,C0029776,C0423735
2101,C0029776,C0005687
1216,C0029781,C0458090
47,C0029782,C0278107
48,C0029782,C0577569
621,C0029782,C0232978
622,C0029782,C0423715
935,C0029782,C1288081
1217,C0029782,C0234038
1218,C0029782,C0241656
2102,C0029782,C0232979
2103,C0029782,C0235808
1789,C0029785,C0521632
49,C0029788,C0424489
50,C0029788,C1279511
348,C0029788,C0277943
623,C0029788,C0221201
936,C0029788,C0221232
937,C0029788,C0574922
1219,C0029788,C0277962
2104,C0029788,C0406400
2105,C0029788,C0558143
1790,C0029790,C0266952
51,C0029794,C0263355
52,C0029794,C0406402
1220,C0029794,C0041834
1221,C0029794,C0456495
1493,C0029794,C0574921
1791,C0029794,C1446312
1494,C0029805,C0277938
2106,C0029805,C0406548
2107,C0029816,C0343239
1792,C0029819,C0566948
53,C0029821,C0239739
1793,C0029821,C0277986
2108,C0029827,C0005409
1495,C0029839,C0406411
938,C0029856,C0231532
939,C0030286,C0522070
2109,C0030331,C0041834
1496,C0030353,C0577560
1222,C0030436,C0041834
1794,C0030463,C0027066
1795,C0030469,C0152029
940,C0030486,C0452143
1223,C0030486,C0278119
54,C0030508,C0393775
55,C0030508,C0424284
1796,C0030508,C0424275
56,C0030567,C0586392
57,C0030846,C0149751
1224,C0030846,C0156308
1225,C0030846,C0268988
1497,C0030846,C0497481
58,C0031029,C0577565
59,C0031117,C0344306
60,C0031117,C0423709
1226,C0031117,C0027796
624,C0031121,C0231623
625,C0031121,C0344306
626,C0031121,C0423714
941,C0031121,C0423713
942,C0031121,C0027796
1227,C0031121,C0423709
1228,C0031121,C0423710
1498,C0031121,C0036396
1499,C0031121,C0423707
1500,C0031121,C0423715
1797,C0031121,C0423708
1798,C0031121,C0030193
1501,C0031142,C0401020
1229,C0031256,C0456073
2110,C0031350,C0242429
349,C0031736,C0406216
61,C0031762,C0406219
1502,C0032238,C0030193
1503,C0032266,C0577566
627,C0032533,C0521516
1230,C0032533,C0030193
350,C0032768,C0027796
1504,C0032768,C0030193
628,C0032772,C0027796
1505,C0032772,C0030193
1231,C0032962,C0686344
1506,C0032962,C0033776
351,C0033036,C0232209
1799,C0033103,C0745966
62,C0033117,C1535347
2111,C0033117,C0233973
1507,C0033139,C0917801
629,C0033575,C0242453
1232,C0033575,C0392071
1800,C0033575,C0240812
943,C0033771,C0033774
1508,C0033772,C0033774
352,C0033893,C0018681
2112,C0033893,C0231613
353,C0034150,C0340979
63,C0034372,C0751460
944,C0034544,C0027796
2113,C0034931,C0030193
354,C0034951,C0003078
1801,C0034951,C0271186
1802,C0035204,C0231796
1803,C0035204,C1384488
630,C0035309,C1319587
1509,C0035309,C0278230
945,C0035455,C0264272
1804,C0035455,C1997818
64,C0036093,C0266996
2114,C0036323,C0005409
631,C0036412,C0235980
632,C0036413,C0241165
65,C0036454,C0438434
633,C0036454,C0438432
1233,C0036454,C1268591
2115,C0036454,C0235068
355,C0037120,C0333240
66,C0037274,C0340979
634,C0037274,C0152030
1234,C0037274,C0241165
1805,C0037274,C0033774
1510,C0037278,C0240608
635,C0037280,C1279511
67,C0037284,C0263538
1235,C0037284,C0848332
1806,C0037284,C0007943
636,C0037315,C0020530
1807,C0037672,C0424284
1511,C0037769,C0036572
68,C0037887,C0030193
946,C0037928,C0270777
2116,C0037933,C0410577
1512,C0038034,C0007940
947,C0038220,C0036572
1513,C0038325,C0041834
637,C0038354,C0221151
1236,C0038354,C0581358
1237,C0038379,C1578670
356,C0038868,C0029089
1238,C0038870,C0030193
1239,C0039584,C1288081
69,C0039621,C0231785
70,C0039978,C0344306
638,C0040128,C0542134
639,C0040128,C0578750
1240,C0040381,C0030193
71,C0040409,C0017672
640,C0040409,C0241426
1514,C0040409,C2939427
1808,C0040409,C0520559
2117,C0040409,C0241439
948,C0040435,C0266952
1515,C0040997,C0030193
1516,C0041105,C0234131
641,C0041227,C0007942
2118,C0041309,C0007943
72,C0041785,C0406569
1241,C0041912,C0264272
73,C0042024,C0150044
949,C0042024,C0232847
1517,C0042024,C0559753
2119,C0042024,C0150045
2120,C0042024,C0401155
1242,C0042025,C0869256
357,C0042033,C0232955
642,C0042075,C0032617
2121,C0042075,C0426317
74,C0042109,C0406407
75,C0042109,C0221232
643,C0042109,C0406399
950,C0042109,C0406400
951,C0042109,C0406404
952,C0042109,C0406406
953,C0042109,C0406411
1518,C0042109,C0406403
1519,C0042109,C0406405
1520,C0042109,C1304408
1809,C0042109,C0406408
76,C0042251,C0042256
1810,C0042251,C0018933
1521,C0042268,C0581909
644,C0042331,C0018681
645,C0042345,C0585977
1811,C0042345,C0341961
2122,C0042345,C0585958
1812,C0042373,C0456122
1522,C0042376,C0521668
1813,C0042376,C0018681
954,C0042420,C0039070
358,C0042454,C2712367
955,C0042656,C0030193
1523,C0042769,C0393766
1243,C0042795,C0155001
956,C0042798,C0547030
1244,C0042798,C0234706
1524,C0042798,C0234705
77,C0042994,C0033778
1245,C0042994,C0520586
2123,C0042996,C0566909
957,C0043037,C0343731
359,C0043046,C0006625
646,C0043345,C0151908
1246,C0043352,C0399590
1525,C0079035,C0410919
1247,C0080040,C0585627
1248,C0085096,C0232373
1814,C0085096,C1996961
958,C0085109,C0474344
2124,C0085179,C0030193
959,C0085273,C0041834
647,C0085417,C0751495
1815,C0085417,C0036572
2125,C0085541,C0036572
1249,C0085543,C0751495
1526,C0085543,C0036572
960,C0085580,C0221154
360,C0085622,C0159034
361,C0085622,C0270795
1250,C0085623,C0840927
1816,C0085623,C0234131
1527,C0085642,C0030232
1251,C0085648,C0577572
78,C0085659,C0041834
2126,C0085920,C0030193
79,C0086588,C0013911
648,C0086666,C0002962
1528,C0086666,C0030193
649,C0087012,C0004134
1252,C0149778,C0264272
1529,C0149797,C1301340
80,C0149875,C0030193
81,C0149875,C1283829
1253,C0149931,C0018681
362,C0149940,C0036396
650,C0149942,C0029089
363,C0150055,C0232491
364,C0150055,C0478148
651,C0150055,C0404484
652,C0150055,C0476481
961,C0150055,C0686729
1530,C0150055,C1960183
1817,C0150055,C0231385
82,C0151436,C1304408
1818,C0151514,C0406548
653,C0151532,C0585540
1254,C0151532,C0030214
1531,C0151594,C0011991
83,C0151740,C0159036
1532,C0151744,C0002962
365,C0151824,C0232488
654,C0151824,C0000737
1255,C0151824,C0578052
366,C0151864,C0405064
1819,C0152027,C0159036
655,C0152091,C0560609
962,C0152091,C0151825
