rid,disease_cui,symptom_cui
1600,C0270794,C0375214
1601,C0270805,C0018991
1899,C0270813,C0026838
1320,C0270814,C0264588
146,C0270819,C0036572
1900,C0270819,C0751495
1032,C0270820,C0036572
1602,C0270820,C0490011
1901,C0270820,C0751495
1603,C0270821,C0036572
1321,C0270822,C0751495
2195,C0270822,C0036572
1033,C0270823,C0036572
1604,C0270824,C0036572
1034,C0270825,C0036572
1902,C0270825,C0751495
2196,C0270826,C0036572
147,C0270830,C0490011
1903,C0270830,C0036572
428,C0270831,C0490011
429,C0270831,C0036572
1322,C0270837,C0036572
430,C0270838,C0494475
1323,C0270838,C0490011
718,C0270846,C0036572
1904,C0270846,C0490011
1324,C0270847,C0036572
1605,C0270847,C0751495
148,C0270849,C0751495
1035,C0270849,C0036572
431,C0270850,C0036572
1036,C0270851,C0036572
1325,C0270853,C0036572
1905,C0270854,C0036572
149,C0270855,C0027066
719,C0270857,C0036572
1037,C0270858,C0423649
1326,C0270859,C0018681
720,C0270860,C0018681
1906,C0270860,C0042571
2197,C0270861,C0018681
1038,C0270862,C0018681
150,C0270871,C0684219
1327,C0270883,C0018991
151,C0270953,C0037763
1328,C0270971,C0159036
721,C0270977,C0027066
1907,C0270997,C0235267
432,C0271060,C0577560
152,C0271184,C0155001
1908,C0271187,C0271190
2198,C0271216,C0271234
2199,C0271240,C0729341
1606,C0271291,C0278134
153,C0271317,C0542354
154,C0271388,C0585540
1607,C0271405,C0271404
1329,C0271417,C0391860
722,C0271487,C0522364
1039,C0271487,C0042571
1608,C0271487,C0521815
2200,C0271487,C0395923
155,C0271490,C0391860
723,C0271508,C0152228
724,C0271509,C0152228
1330,C0271510,C0034880
1909,C0271518,C0159036
2201,C0271609,C0042755
156,C0271787,C0333252
2202,C0272021,C0038187
433,C0272088,C0521800
1331,C0272088,C0010520
1332,C0272104,C0010520
1040,C0272267,C0041834
2203,C0272268,C0041834
157,C0272269,C0041834
1333,C0272391,C0577566
2204,C0272391,C0577562
1910,C0272407,C0577564
434,C0274440,C0406411
725,C0275526,C0014034
1609,C0275746,C0332573
1911,C0275747,C0041834
1041,C0275753,C0262977
1334,C0275852,C0333422
1335,C0275983,C0011991
1610,C0276013,C0333422
1336,C0276014,C0333422
1611,C0276015,C0333422
1612,C0276022,C0577572
435,C0276467,C0011991
1337,C0276468,C0011991
1613,C0276478,C0011991
1338,C0276572,C0013404
726,C0276573,C1720342
1042,C0276577,C1719857
158,C0276584,C1720231
2205,C0276672,C0041834
1339,C0276726,C0007940
1043,C0277509,C0030193
159,C0277526,C0011991
1044,C0277527,C0011991
160,C0277528,C0011991
161,C0278085,C2712367
1614,C0278110,C0018991
1912,C0278110,C0375218
2206,C0278110,C0375214
162,C0278111,C0375218
1615,C0278112,C0018991
727,C0278113,C0018991
1340,C0278116,C0375214
436,C0278117,C0375214
1341,C0278122,C0278125
1616,C0278135,C0840927
728,C0278162,C0520966
1617,C0278162,C0004134
2207,C0278179,C0840927
437,C0278186,C0036572
1045,C0278187,C0036572
729,C0278188,C0036572
1618,C0278188,C0751495
2208,C0278188,C0490011
730,C0278189,C0036572
1913,C0278189,C0490011
163,C0278192,C0490011
1619,C0278192,C0036572
2209,C0278192,C0751495
438,C0278193,C0490011
1046,C0278193,C0036572
164,C0278195,C0490011
1914,C0278195,C0036572
1342,C0278196,C0036572
1915,C0278196,C0490011
1916,C0278197,C0490011
2210,C0278197,C0036572
1047,C0278198,C0036572
165,C0278199,C0751495
166,C0278199,C0036572
439,C0278199,C0490011
1048,C0278201,C0036572
1343,C0278201,C0490011
167,C0278202,C0490011
440,C0278202,C0751495
731,C0278202,C0036572
732,C0278203,C0490011
1049,C0278203,C0751495
1917,C0278203,C0036572
1344,C0278212,C0042818
1345,C0278213,C0042818
1346,C0281913,C0577595
2211,C0281913,C0158369
733,C0282309,C0406218
2212,C0282492,C0030232
1620,C0301918,C1304408
1918,C0301918,C0406411
1347,C0302369,C1562677
2213,C0311262,C1280008
1050,C0311267,C0011991
168,C0311268,C0011991
734,C0311312,C0030193
441,C0311334,C0270844
1051,C0311334,C0490011
1621,C0311334,C0036572
1622,C0311335,C0036572
735,C0333997,C0406218
2214,C0338443,C0007758
442,C0338458,C2712367
1052,C0338465,C0040485
443,C0338478,C0036572
1623,C0338479,C0036572
736,C0338480,C0018681
444,C0338481,C0018681
1919,C0338483,C0018681
1920,C0338484,C0018681
169,C0338485,C0018681
1053,C0338486,C0018681
1921,C0338489,C0018681
1624,C0338490,C0018681
1054,C0338497,C1561817
445,C0338534,C0029089
1348,C0338536,C0030193
737,C0338553,C0030193
1922,C0338933,C0232857
1349,C0339230,C0391860
1055,C0339471,C1319543
1350,C0339471,C1319544
170,C0339473,C1319539
171,C0339473,C1319540
1625,C0339655,C0155347
2215,C0339663,C0034933
446,C0339741,C0271234
447,C0339743,C0271234
738,C0339823,C0577562
1923,C0339842,C0577562
739,C0340021,C0030193
1626,C0340099,C0333240
1351,C0340102,C0333240
448,C0340103,C0333240
172,C0340105,C0333240
1924,C0340164,C0577564
2216,C0340164,C0587047
173,C0340241,C0577562
740,C0340288,C0348588
1627,C0340288,C0002962
1628,C0340288,C0030193
741,C0340289,C0030193
1056,C0340289,C0002962
1057,C0340289,C0348588
742,C0340548,C0577563
1925,C0340548,C0577562
449,C0340849,C0039070
1926,C0340850,C0039070
1058,C0340851,C0039070
1629,C0340852,C0039070
174,C0340854,C0039070
450,C0340854,C0235242
175,C0340856,C0039070
743,C0340857,C0039070
451,C0341017,C0333422
1630,C0341021,C0041834
2217,C0341089,C0232476
176,C0341225,C0577566
2218,C0341286,C0149696
1631,C0341353,C0577566
452,C0341420,C0009806
1927,C0341850,C0577570
1352,C0341858,C0030193
453,C0341957,C0036572
2219,C0342100,C0567522
1928,C0342517,C0042755
744,C0342961,C0006625
1632,C0342962,C0006625
177,C0342965,C0242706
2220,C0342965,C0020440
2221,C0342965,C0085383
454,C0343042,C0332573
1059,C0343042,C0221201
178,C0343065,C0406399
179,C0343065,C0406408
2222,C0343065,C0406403
1060,C0343200,C0030193
1353,C0343214,C0030193
180,C0343228,C0587050
1354,C0343265,C0030193
745,C0343266,C0030193
2223,C0343267,C0030193
1633,C0343467,C0041834
1061,C0343678,C0221201
1634,C0343681,C0085641
1929,C0343686,C0333422
455,C0343729,C0577566
456,C0343730,C0577294
181,C0343741,C0240007
746,C0343755,C0006625
182,C0343836,C0262977
747,C0343950,C0577573
2224,C0343970,C0577566
183,C0344248,C0155344
1355,C0345141,C0577563
1930,C0347630,C0577566
1635,C0347868,C1571858
748,C0347873,C0036572
1931,C0347874,C0036572
184,C0347894,C0231623
185,C0347894,C0393916
186,C0347894,C0458960
457,C0347894,C0423717
458,C0347894,C0458171
749,C0347894,C0458959
1062,C0347894,C0278147
1063,C0347894,C0423708
1356,C0347894,C0027796
1636,C0347894,C0234248
1637,C0347894,C0423710
2225,C0347894,C0458221
750,C0347895,C0027796
751,C0347942,C2921132
1638,C0347949,C0155001
459,C0348626,C0232119
1064,C0348626,C0235477
1639,C0348626,C0232130
752,C0348727,C0232520
2226,C0348727,C0221727
2227,C0348742,C0426769
460,C0348751,C0522067
1640,C0348751,C1262535
2228,C0349255,C0917801
1932,C0349493,C1301340
1933,C0349698,C0159057
2229,C0349716,C0030193
1641,C0376288,C0149793
187,C0376356,C0232959
188,C0376356,C0232960
2230,C0376356,C0578674
1357,C0392060,C0030193
2231,C0392060,C0029089
1934,C0392156,C0159036
753,C0392439,C0085641
1935,C0392550,C0018991
1642,C0392571,C0271234
189,C0392702,C0234375
190,C0392702,C0578675
191,C0392702,C2919320
461,C0392702,C0234369
462,C0392702,C0239779
463,C0392702,C0037763
464,C0392702,C0040822
754,C0392702,C0004158
755,C0392702,C0026838
756,C0392702,C0277820
757,C0392702,C0520822
1065,C0392702,C0234378
1066,C0392702,C0576705
1358,C0392702,C0231530
1359,C0392702,C0234373
1360,C0392702,C0343494
1361,C0392702,C2315430
1362,C0392702,C0015644
1643,C0392702,C0234362
1644,C0392702,C0234370
1936,C0392702,C0009024
1937,C0392702,C0234371
1938,C0392702,C0234374
2232,C0392702,C0151818
2233,C0392702,C0231514
2234,C0392702,C0234372
2235,C0392702,C0234377
2236,C0392702,C0234379
2237,C0392702,C0427086
2238,C0392702,C0520821
2239,C0392702,C0751564
2240,C0392702,C1827253
2241,C0392702,C0476217
1363,C0393484,C0036572
2242,C0393519,C0007758
1067,C0393524,C0007758
758,C0393572,C0234363
2243,C0393587,C0393588
192,C0393593,C0013421
465,C0393593,C0393610
1068,C0393593,C0393588
193,C0393602,C0152116
466,C0393604,C0005747
2244,C0393612,C1961111
467,C0393613,C1961111
2245,C0393614,C1961111
1645,C0393615,C1961111
468,C0393618,C0027066
1069,C0393619,C0027066
2246,C0393620,C0027066
1364,C0393623,C0027066
1646,C0393624,C0027066
469,C0393625,C0027066
1070,C0393626,C0027066
1365,C0393640,C0221540
1647,C0393669,C0036572
1648,C0393671,C0036572
1939,C0393672,C0036572
1940,C0393673,C0036572
1941,C0393674,C0036572
194,C0393675,C0036572
1071,C0393676,C0036572
1942,C0393677,C0036572
470,C0393678,C0036572
1649,C0393679,C0036572
471,C0393680,C0036572
195,C0393681,C0036572
2247,C0393682,C0036572
759,C0393683,C0036572
196,C0393684,C0036572
1366,C0393687,C0036572
472,C0393688,C0036572
1072,C0393689,C0036572
760,C0393690,C0036572
197,C0393691,C0036572
198,C0393692,C0036572
473,C0393693,C0036572
1943,C0393695,C0036572
199,C0393697,C0036572
1367,C0393698,C0036572
474,C0393699,C0036572
1073,C0393700,C0036572
200,C0393701,C0036572
1368,C0393702,C0036572
761,C0393703,C0036572
1074,C0393706,C0036572
1944,C0393713,C0036572
201,C0393714,C0036572
2248,C0393715,C0036572
1075,C0393717,C0036572
202,C0393718,C0036572
762,C0393719,C0036572
203,C0393720,C0751495
475,C0393720,C0036572
204,C0393722,C0036572
1945,C0393723,C0036572
1946,C0393724,C0036572
763,C0393725,C0036572
476,C0393726,C0036572
1369,C0393727,C0036572
1076,C0393728,C0036572
2249,C0393729,C0036572
1650,C0393731,C0036572
1947,C0393732,C0036572
205,C0393733,C0036572
1651,C0393733,C0751495
2250,C0393733,C0490011
764,C0393734,C0751495
1077,C0393734,C0036572
765,C0393735,C0018681
1370,C0393735,C0341865
1652,C0393735,C0751191
1948,C0393736,C0018681
1653,C0393737,C0018681
1371,C0393738,C0018681
766,C0393739,C0018681
1078,C0393741,C0018681
2251,C0393742,C0018681
477,C0393743,C0018681
1079,C0393744,C0018681
206,C0393745,C0018681
478,C0393746,C0751188
2252,C0393746,C0018681
767,C0393751,C0018681
768,C0393755,C0018681
1654,C0393758,C0917801
2253,C0393762,C0917799
769,C0393771,C1561817
1080,C0393771,C0476209
1372,C0393774,C0424284
770,C0393776,C0233973
2254,C0393776,C0030193
1655,C0393786,C0030193
1373,C0393787,C0030193
771,C0393788,C0030193
207,C0393829,C0030193
2255,C0393833,C0030193
772,C0393901,C0393903
1949,C0393901,C0423721
1374,C0393960,C0375214
1656,C0394004,C0004134
1657,C0394006,C0476206
773,C0394013,C2712367
1950,C0395865,C0271412
774,C0395876,C0271412
2256,C0395920,C0042571
2257,C0395921,C0042571
479,C0395932,C0476206
480,C0395932,C0042571
2258,C0396005,C0037763
1658,C0398350,C0333240
775,C0399418,C0399411
1659,C0399493,C0332573
208,C0400875,C0011991
1951,C0400964,C0476232
481,C0401144,C0728950
1952,C0401144,C0042963
1375,C0401146,C1536397
2259,C0401146,C0009806
1376,C0403608,C0458090
1660,C0403660,C0014394
2260,C0403661,C0014394
209,C0403721,C0476293
1081,C0404545,C0030193
482,C0404559,C0341866
776,C0404559,C0236075
1082,C0404559,C0341865
1083,C0404559,C0404561
1084,C0405072,C0405064
483,C0405079,C0042963
1661,C0405080,C0020450
1953,C0405080,C0042963
1954,C0405081,C0042963
1085,C0405082,C0042963
1377,C0405322,C0085688
777,C0405479,C0149741
778,C0406044,C0033774
779,C0406047,C0152030
2261,C0406138,C0041834
780,C0406139,C0041834
1955,C0406238,C0033774
1086,C0406298,C0033774
1662,C0406299,C0033774
2262,C0406300,C0033774
1663,C0406301,C0033774
2263,C0406329,C0085641
210,C0406330,C0085641
1956,C0406409,C0157725
2264,C0406409,C0033774
1087,C0406418,C0041834
484,C0406507,C0030232
211,C0406508,C0030232
1378,C0406509,C0030232
212,C0406531,C0041834
1957,C0406532,C0041834
213,C0406533,C0041834
214,C0406534,C0041834
485,C0406535,C0041834
215,C0406536,C0041834
486,C0406539,C0041834
1379,C0406541,C0041834
1380,C0406543,C0041834
216,C0406567,C0406569
1088,C0406598,C0041834
781,C0406616,C1301340
1381,C0406629,C0240941
217,C0406670,C0041889
487,C0406670,C0030193
782,C0406670,C0520588
1382,C0406670,C0241709
1958,C0406670,C1960183
2265,C0406688,C0521160
1959,C0406691,C0041834
488,C0406698,C0013196
218,C0406740,C0036572
1664,C0406778,C0030232
2266,C0406792,C0033774
1665,C0406844,C0030201
1960,C0406844,C0008035
783,C0406875,C0406881
489,C0409264,C0575020
1383,C0409264,C0574999
219,C0409273,C0574998
490,C0409781,C0424853
220,C0409782,C0424853
1961,C0409783,C0424853
221,C0410060,C0581326
1089,C0410157,C0030193
1962,C0410205,C0158297
2267,C0410238,C0178422
1666,C0410249,C0030193
784,C0411024,C0241902
491,C0411277,C0041834
1384,C0413299,C0392674
1385,C0413299,C0695252
1386,C0422846,C0036572
1667,C0422846,C0490011
1090,C0422853,C0490011
1963,C0422853,C0751495
1964,C0422853,C0036572
222,C0422855,C0042571
492,C0422855,C0522350
1387,C0422855,C0036572
223,C0422859,C0036572
493,C0422859,C0490011
785,C0423074,C0423075
1668,C0423086,C0522337
224,C0423682,C0024031
494,C0423690,C0003862
1965,C0423690,C1540714
1669,C0423692,C0159036
225,C0423704,C0423717
1388,C0423704,C0159036
786,C0423711,C0030193
787,C0423712,C0030193
495,C0423738,C0238637
1966,C0423738,C0034886
1670,C0424291,C0424359
1091,C0424734,C0041834
226,C0426636,C0159061
788,C0426784,C0040485
1389,C0426970,C0375223
496,C0427023,C0162298
1967,C0427105,C0159036
1092,C0427129,C0575081
1671,C0427164,C0701824
2268,C0427164,C0575081
1093,C0438414,C0036572
1968,C0438418,C0036572
1390,C0442874,C0027796
1672,C0451714,C0577566
497,C0451910,C0041834
1391,C0452138,C1719454
1969,C0452160,C0024031
1970,C0452200,C0087169
227,C0452201,C0087169
228,C0453877,C2712367
1392,C0453878,C2712367
1971,C0454533,C0454542
1673,C0454534,C2712367
229,C0454548,C0003564
230,C0454549,C0003564
498,C0454550,C0003564
231,C0454588,C0478145
1393,C0454589,C0520966
1674,C0454590,C0520966
232,C0454591,C0520966
1675,C0454609,C2712367
499,C0454615,C0520966
1094,C0454618,C2712367
1394,C0454619,C0520966
1095,C0454630,C2712367
500,C0454635,C2712367
501,C0455715,C0018991
502,C0456018,C1541982
233,C0456043,C0410921
234,C0456052,C0036572
1395,C0456071,C0456122
789,C0456750,C0042571
1972,C0457000,C0041834
1096,C0457014,C0700590
2269,C0457949,C0024031
235,C0458101,C0018681
236,C0458167,C0008031
503,C0458167,C0458166
1676,C0458219,C0030193
1677,C0458220,C0030193
1973,C0458224,C0036396
2270,C0458224,C0030193
2271,C0458225,C0000737
2272,C0458225,C0158194
504,C0459146,C0152116
1097,C0459146,C0005747
2273,C0459146,C0042256
790,C0459151,C0406671
1396,C0459151,C0451941
1678,C0459151,C0268988
237,C0459805,C0013196
2274,C0472348,C0036572
1679,C0472349,C0036572
1680,C0472350,C0036572
505,C0472351,C0036572
1681,C0472354,C0036572
506,C0472355,C0036572
238,C0473118,C1565887
239,C0473127,C0011991
1397,C0473132,C0011991
1682,C0473133,C0011991
1098,C0473491,C0240715
1099,C0473778,C0011991
1398,C0473807,C0019079
1399,C0474381,C0234706
2275,C0474442,C1282197
791,C0475521,C0036572
240,C0475522,C0751188
241,C0475522,C0018681
1974,C0475522,C0701795
242,C0476214,C0235031
792,C0476214,C0029625
1400,C0477758,C0577568
1683,C0477758,C0577591
2276,C0477961,C0456074
243,C0494559,C0395959
507,C0494559,C0395923
1684,C0494559,C0521788
244,C0519012,C0018991
1685,C0520530,C0041834
1100,C0520947,C0520966
793,C0520998,C0155001
1686,C0520998,C0029844
2277,C0521517,C0030193
2278,C0521664,C0018681
508,C0521665,C0018681
1101,C0521667,C0018681
1687,C0521673,C0278134
2279,C0521673,C0012766
1102,C0521675,C0012766
794,C0521801,C0010520
1975,C0522253,C0018681
2280,C0522254,C0018681
795,C0522255,C0578055
1688,C0522255,C0278147
796,C0543820,C0041834
1401,C0543820,C0030193
509,C0546212,C0157725
1402,C0546212,C0033774
2281,C0546351,C0333422
797,C0546393,C0332573
1976,C0546878,C0234131
2282,C0546878,C0037763
2283,C0549118,C0036572
798,C0549201,C0033774
1403,C0549201,C0157725
510,C0549567,C0233200
799,C0549567,C0005409
1689,C0549567,C0013196
1977,C0549567,C0339251
2284,C0549567,C1279511
800,C0553565,C1290643
1103,C0553565,C1290644
1104,C0553587,C0036572
245,C0553604,C0037763
511,C0553642,C0159036
801,C0553694,C0030214
802,C0553760,C0423707
1690,C0553760,C0423715
1978,C0553760,C0423708
2285,C0553760,C0423713
2286,C0553760,C0423714
1105,C0553977,C0240608
246,C0554309,C0159064
1404,C0554467,C0033774
1405,C0554467,C0157725
247,C0555970,C0264272
1979,C0559027,C0155066
1406,C0560922,C0041834
1691,C0563633,C0029844
1692,C0564774,C0030193
803,C0565576,C0231528
804,C0565822,C0271234
1980,C0565822,C0155047
805,C0565878,C0405064
1981,C0566748,C1301340
512,C0567085,C0423610
806,C0567085,C0000737
1106,C0567085,C0041889
248,C0574713,C0041834
1407,C0574714,C0041834
1693,C0574715,C0041834
2287,C0574913,C0240715
1694,C0575031,C0578055
1695,C0575031,C0158194
1982,C0575032,C0008031
2288,C0575032,C0677061
807,C0576533,C0034933
1107,C0577711,C0041834
1408,C0577725,C0159055
1409,C0578159,C0011991
1983,C0581287,C0041834
1108,C0581348,C0158206
1696,C0581395,C0343731
808,C0582505,C0577570
1109,C0585051,C0036396
1410,C0585051,C0030193
513,C0585052,C0030193
1110,C0585052,C0036396
2289,C0585541,C0585542
2290,C0585543,C1321324
1984,C0585561,C0027066
249,C0586323,C0036572
250,C0586323,C0490011
2291,C0595865,C0476232
251,C0595948,C0036572
2292,C0595948,C0490011
809,C0595956,C0041834
2293,C0686532,C0159065
810,C0686533,C0159065
1411,C0686558,C0577564
514,C0687754,C1565887
2294,C0699848,C0405584
515,C0700201,C0037317
811,C0700201,C0917801
2295,C0700201,C0917799
2296,C0700201,C0947785
2297,C0700438,C0018681
252,C0701163,C0042755
1697,C0702100,C0263634
1111,C0702143,C0155344
1698,C0729254,C0695252
516,C0729261,C0577566
517,C0729735,C0577572
1985,C0729771,C0242429
518,C0729793,C0156402
519,C0730120,C0577560
253,C0740441,C0011991
254,C0741026,C0030193
520,C0741026,C0348588
1699,C0741026,C0002962
812,C0741032,C0030193
1700,C0741032,C0348588
1986,C0741032,C0002962
521,C0743332,C0264588
813,C0743332,C0005747
255,C0743381,C0036572
1112,C0743381,C0490011
2298,C0744644,C0018681
814,C0745890,C0030193
1412,C0748355,C0476273
256,C0750949,C1540979
1113,C0750949,C0004604
1701,C0750992,C0159036
257,C0751019,C0149793
522,C0751120,C0036572
2299,C0751122,C0036572
1413,C0751185,C0018681
2300,C0751226,C0917799
1987,C0751362,C0917799
1114,C0751383,C0027066
1115,C0751406,C0030193
1414,C0751510,C0231835
815,C0751523,C0036572
816,C0751524,C0751495
1116,C0751524,C0036572
1415,C0751642,C0036572
523,C0751643,C0036572
258,C0751774,C0427086
259,C0751778,C0036572
1416,C0751778,C0027066
817,C0751783,C0036572
2301,C0751783,C0027066
1702,C0751785,C0036572
1988,C0751785,C0027066
1989,C0751931,C0231623
260,C0751946,C0027066
1703,C0752196,C0427086
1704,C0752289,C0037317
524,C0851578,C0476212
818,C0851578,C0393757
1117,C0851578,C0476211
2302,C0851578,C0037317
1118,C0852271,C0270274
261,C0863106,C0490011
1990,C0863106,C0036572
1119,C0870082,C0038605
525,C0877440,C0041834
1991,C0948268,C0029854
1417,C0948349,C0152029
1418,C1096063,C0036572
1120,C1112639,C0577561
1419,C1141936,C0010520
262,C1253936,C0311222
263,C1253936,C0152031
1992,C1253936,C0158157
1121,C1263748,C0391860
1420,C1265579,C0041834
264,C1268586,C0027796
2303,C1268586,C0030193
265,C1269791,C0344244
266,C1269791,C0521764
526,C1269791,C0155344
527,C1269791,C0521763
528,C1269791,C0585566
819,C1269791,C0344240
1421,C1269791,C0151205
1422,C1269791,C0349683
1993,C1269791,C0344246
1994,C1269791,C0349681
1995,C1269791,C1321325
1996,C1270923,C1571956
820,C1271073,C0155001
1997,C1271073,C0547030
529,C1272174,C0547030
1122,C1274149,C0577561
821,C1274284,C0030232
1998,C1274285,C0030232
1123,C1274293,C1304408
530,C1274299,C0476267
822,C1274332,C0577565
1999,C1274380,C0041834
531,C1274381,C0041834
2304,C1274382,C0041834
2000,C1274605,C0041834
1124,C1274606,C0041834
2001,C1274607,C0041834
2305,C1274608,C0041834
1125,C1274609,C0041834
823,C1274675,C0263538
1126,C1274675,C0149651
532,C1274681,C0221261
1423,C1274749,C0016382
824,C1274751,C0406548
825,C1274820,C0240715
2306,C1274820,C0577569
267,C1274856,C1304408
268,C1274903,C0033774
533,C1274903,C0157725
2002,C1274904,C0033774
2003,C1274932,C0406411
826,C1274933,C0041834
2004,C1274939,C0041834
1424,C1274940,C0016382
1425,C1274942,C0041834
827,C1274949,C0013196
1705,C1274960,C0041834
1426,C1274972,C0406548
534,C1274988,C1997818
2307,C1275040,C0033774
1706,C1275050,C0030193
269,C1275434,C0041834
2005,C1275454,C0239340
828,C1275455,C0156308
270,C1275460,C0033774
1127,C1275488,C0041834
829,C1275968,C0033774
1707,C1275974,C0577564
2006,C1276129,C0241165
1128,C1277259,C0391860
271,C1277276,C0004604
2007,C1277670,C0159040
830,C1278535,C0348588
1708,C1278535,C0030193
2008,C1278535,C0002962
1709,C1279983,C0041834
1129,C1281944,C0030193
1427,C1282196,C1282194
831,C1282232,C0391860
2308,C1282376,C0155347
1428,C1282765,C0013395
832,C1282895,C0578994
535,C1283803,C0003126
1429,C1285162,C0005409
2309,C1285333,C0007943
1130,C1285471,C0547030
536,C1285537,C0235777
272,C1290036,C0473563
833,C1290048,C0406401
1710,C1290072,C0264272
834,C1290121,C0577561
1430,C1290136,C0426785
273,C1290143,C0040485
835,C1290143,C0152116
836,C1290145,C0040485
2310,C1290145,C0426785
537,C1290379,C0221154
837,C1290611,C0401157
838,C1290613,C0401158
1131,C1290613,C0401157
1711,C1290613,C0027498
1712,C1290613,C0152165
1713,C1290613,C0520904
538,C1290785,C0030214
839,C1290795,C0472514
274,C1290807,C0011991
2009,C1290807,C0151791
2311,C1290807,C0473129
840,C1290841,C0393588
275,C1290846,C0155382
2010,C1290846,C0029089
276,C1290849,C0269671
841,C1290849,C0270261
842,C1290849,C0270777
1132,C1290849,C0151205
1133,C1290849,C0236065
1134,C1290849,C1290771
277,C1290857,C0456073
2011,C1290857,C0456074
2312,C1290857,C0151205
843,C1290864,C1301340
1431,C1290864,C0401020
1714,C1290864,C0000727
1715,C1290864,C0403568
2313,C1290864,C0403569
278,C1290865,C0423713
844,C1290865,C0238532
1432,C1290865,C0423714
279,C1290866,C0423714
1135,C1290866,C0423713
280,C1290876,C0423713
845,C1290876,C0423709
1716,C1290876,C0221166
539,C1290877,C0751460
1433,C1290878,C0423714
1717,C1290878,C0423707
2314,C1290878,C0423708
846,C1290880,C0240920
2315,C1290882,C0521663
1718,C1290884,C0007940
540,C1298685,C0281856
541,C1298760,C0029854
1719,C1298989,C0036572
847,C1299435,C0030193
1720,C1299435,C0002962
1136,C1299436,C0030193
2012,C1299436,C0002962
1137,C1299437,C0002962
1434,C1299437,C0030193
848,C1299438,C0002962
1435,C1299438,C0030193
281,C1299439,C0030193
542,C1299439,C0002962
1721,C1299439,C0348588
282,C1299440,C0348588
849,C1299440,C0002962
2316,C1299440,C0030193
283,C1299598,C0036572
1722,C1299608,C0476273
543,C1299926,C0333249
284,C1300028,C0409557
285,C1300028,C0521516
544,C1300028,C0406881
850,C1300028,C0027796
851,C1300028,C0267028
852,C1300028,C0423721
1138,C1300028,C0151828
1139,C1300028,C0393903
1140,C1300028,C0405495
1436,C1300028,C0017672
1437,C1300028,C1996961
1438,C1300028,C0030193
1723,C1300028,C0274369
1724,C1300028,C0403568
1725,C1300028,C0473234
2013,C1300028,C0403569
2014,C1300028,C0729341
2317,C1300028,C0002962
2318,C1300028,C0281856
853,C1301339,C0030193
545,C1301398,C1301340
854,C1301829,C0159036
855,C1302110,C0751188
856,C1302110,C0270697
1726,C1302110,C0701795
2319,C1302110,C0018681
286,C1302248,C0004604
287,C1302248,C0030193
2015,C1302248,C1540979
857,C1302539,C0577570
1727,C1302710,C1290771
858,C1302789,C0033775
546,C1302820,C0240941
859,C1302820,C0456073
2016,C1302820,C0456074
860,C1302834,C0268988
861,C1302834,C0451941
2017,C1302834,C0406671
1439,C1302854,C0473563
2018,C1304055,C0033774
547,C1304076,C0024031
1728,C1304204,C1304408
2320,C1304360,C0041834
862,C1304387,C0221261
1141,C1304407,C1304408
863,C1304410,C0406411
2321,C1304463,C0333240
288,C1304464,C0333240
2019,C1304478,C0236065
289,C1304483,C0156308
2322,C1304494,C0033774
2020,C1313946,C0041834
548,C1313963,C0011991
549,C1319848,C0424284
2021,C1321490,C0333240
864,C1321575,C0490011
1142,C1321575,C0036572
2323,C1331543,C1287517
290,C1393778,C0009806
1143,C1399352,C0018681
550,C1410262,C0036572
1729,C1412035,C0575090
551,C1443290,C0030193
865,C1443291,C0030193
866,C1446219,C0159036
1144,C1449721,C0085688
867,C1456822,C0023222
1730,C1504547,C0271276
1731,C1510417,C0478145
1440,C1527351,C0423721
1732,C1527351,C0423710
2022,C1527351,C0393903
2023,C1527353,C0030193
552,C1531394,C1565887
553,C1533040,C0577560
291,C1533847,C0521516
554,C1533847,C0005747
555,C1533847,C0026826
556,C1534238,C0020639
557,C1534255,C1283829
2024,C1534531,C0020530
2324,C1534561,C0027796
558,C1534916,C0039070
868,C1534916,C0424535
1145,C1534916,C0234428
292,C1534965,C0423006
869,C1535033,C0027424
1733,C1535033,C0264274
870,C1535054,C0264345
293,C1535080,C0025587
2325,C1535339,C0575010
871,C1535388,C0312416
1441,C1535418,C0017672
2326,C1535418,C0241426
559,C1535555,C0009193
872,C1536114,C0030193
1734,C1536114,C0423720
2327,C1536458,C0221232
2025,C1537218,C0341961
1146,C1540374,C0149696
1735,C1540606,C0149793
560,C1540625,C0343731
1736,C1540722,C0917801
1147,C1541811,C1283829
2026,C1542018,C0027066
294,C1542574,C1565887
1148,C1546197,C0259813
561,C1561855,C0917799
873,C1561862,C1313952
1149,C1561892,C0037317
874,C1563308,C1442877
875,C1563321,C0399459
562,C1565172,C0018681
2027,C1571826,C0042755
2328,C1571827,C0266996
295,C1571952,C0005747
1737,C1571952,C0027066
2329,C1571952,C0152116
296,C1571959,C0234664
876,C1571960,C0007758
2028,C1571968,C0152029
563,C1576410,C0041834
564,C1578669,C0235267
2029,C1578669,C0423006
1738,C1578692,C0221232
877,C1578794,C1280008
2030,C1578956,C0221232
1150,C1579022,C0259813
1442,C1579723,C0027796
878,C1611178,C0012766
1739,C1621769,C0695252
565,C1628308,C0029844
1151,C1630648,C0149696
566,C1636157,C0339249
2031,C1642392,C0406218
567,C1642397,C0010200
1443,C1665347,C0007758
1740,C1690985,C0339249
297,C1691006,C0547030
568,C1704330,C0563234
1444,C1704330,C0040460
1152,C1704421,C1279511
2032,C1704421,C0013196
