DOID:0050656	OMIM:251290
DOID:0050657	OMIM:158350
DOID:0050658	OMIM:149200
DOID:0050659	OMIM:607483
DOID:0050660	OMIM:123790
DOID:0050661	OMIM:153700
DOID:0050661	OMIM:153840
DOID:0050661	OMIM:608161
DOID:0050661	OMIM:616151
DOID:0050661	OMIM:616152
DOID:0050662	OMIM:611809
DOID:0050663	OMIM:158810
DOID:0050664	OMIM:210370
DOID:0050670	OMIM:605388
DOID:0050675	OMIM:612292
DOID:0050676	OMIM:135150
DOID:0050677	OMIM:262000
DOID:0050678	OMIM:186580
DOID:0050679	OMIM:303700
DOID:0050680	OMIM:112310
DOID:0050681	OMIM:301900
DOID:0050682	OMIM:601536
DOID:0050683	OMIM:607475
DOID:0050684	OMIM:211180
DOID:0050689	OMIM:610713
DOID:0050690	OMIM:113500
DOID:0050690	OMIM:271530
DOID:0050690	OMIM:271630
DOID:0050690	OMIM:613678
DOID:0050691	OMIM:113620
DOID:0050692	OMIM:601003
DOID:0050693	OMIM:605041
DOID:0050694	OMIM:PS211530
DOID:0050699	OMIM:300009
DOID:0050699	OMIM:300555
DOID:0050710	OMIM:PS210200
DOID:0050711	OMIM:604290
DOID:0050712	OMIM:612718
DOID:0050715	OMIM:277400
DOID:0050716	OMIM:277410
DOID:0050717	OMIM:277380
DOID:0050719	OMIM:613068
DOID:0050720	OMIM:238970
DOID:0050722	OMIM:601815
DOID:0050723	OMIM:610992
DOID:0050724	OMIM:614023
DOID:0050725	OMIM:276600
DOID:0050726	OMIM:276700
DOID:0050727	OMIM:276710
DOID:0050729	OMIM:275630
DOID:0050730	OMIM:PS607426
DOID:0050734	OMIM:261000
DOID:0050740	OMIM:600096
DOID:0050741	OMIM:103780
DOID:0050752	OMIM:608627
DOID:0050754	OMIM:208920
DOID:0050755	OMIM:606002
DOID:0050757	OMIM:304700
DOID:0050759	OMIM:602668
DOID:0050760	OMIM:310440
DOID:0050762	OMIM:103050
DOID:0050763	OMIM:PS208085
DOID:0050764	OMIM:300261
DOID:0050766	OMIM:200150
DOID:0050768	OMIM:604273
DOID:0050769	OMIM:310465
DOID:0050770	OMIM:174050
DOID:0050771	OMIM:171300
DOID:0050772	OMIM:108600
DOID:0050773	OMIM:115310
DOID:0050773	OMIM:168000
DOID:0050773	OMIM:601650
DOID:0050773	OMIM:605373
DOID:0050773	OMIM:614165
DOID:0050773	OMIM:PS168000
DOID:0050774	OMIM:266280
DOID:0050775	OMIM:269250
DOID:0050776	OMIM:300716
DOID:0050776	OMIM:PS309530
DOID:0050777	OMIM:PS213300
DOID:0050778	OMIM:PS249000
DOID:0050779	OMIM:PS236680
DOID:0050781	OMIM:300855
DOID:0050786	OMIM:137600
DOID:0050786	OMIM:601631
DOID:0050787	OMIM:174900
DOID:0050788	OMIM:PS185800
DOID:0050789	OMIM:186570
DOID:0050790	OMIM:228900
DOID:0050791	OMIM:261550
DOID:0050792	OMIM:600195
DOID:0050793	OMIM:609620
DOID:0050793	OMIM:609621
DOID:0050793	OMIM:609622
DOID:0050794	OMIM:PS186500
DOID:0050796	OMIM:200450
DOID:0050797	OMIM:264470
DOID:0050798	OMIM:PS300352
DOID:0050799	OMIM:612736
DOID:0050800	OMIM:300352
DOID:0050801	OMIM:109200
DOID:0050801	OMIM:300710
DOID:0050801	OMIM:612421
DOID:0050802	OMIM:615349
DOID:0050807	OMIM:612713
DOID:0050809	OMIM:601492
DOID:0050811	OMIM:201710
DOID:0050811	OMIM:201810
DOID:0050811	OMIM:201910
DOID:0050811	OMIM:202010
DOID:0050811	OMIM:202110
DOID:0050812	OMIM:612847
DOID:0050813	OMIM:143095
DOID:0050814	OMIM:605282
DOID:0050816	OMIM:236730
DOID:0050816	OMIM:615112
DOID:0050816	OMIM:PS236730
